Header Field Name,Protocol
Accept-Language,mail
Alternate-Recipient,mail
Autoforwarded,mail
Autosubmitted,mail
Bcc,mail
Cc,mail
Comments,mail
Content-Alternative,MIME
Content-Description,MIME
Content-Disposition,MIME
Content-Duration,MIME
Content-features,MIME
Content-ID,MIME
Content-Identifier,mail
Content-Language,MIME
Content-Location,MIME
Content-MD5,MIME
Content-Return,mail
Content-Transfer-Encoding,MIME
Content-Type,MIME
Conversion,mail
Conversion-With-Loss,mail
DL-Expansion-History,mail
Date,mail
Deferred-Delivery,mail
Delivery-Date,mail
Discarded-X400-IPMS-Extensions,mail
Discarded-X400-MTS-Extensions,mail
Disclose-Recipients,mail
Disposition-Notification-Options,mail
Disposition-Notification-To,mail
Encoding,mail
Encrypted,mail
Expires,mail
Expiry-Date,mail
From,mail
Generate-Delivery-Report,mail
Importance,mail
In-Reply-To,mail
Incomplete-Copy,mail
Keywords,mail
Language,mail
Latest-Delivery-Time,mail
List-Archive,mail
List-Help,mail
List-ID,mail
List-Owner,mail
List-Post,mail
List-Subscribe,mail
List-Unsubscribe,mail
Message-Context,mail
Message-ID,mail
Message-Type,mail
MIME-Version,MIME
Obsoletes,mail
Original-Encoded-Information-Types,mail
Original-Message-ID,mail
Originator-Return-Address,mail
PICS-Label,mail
Prevent-NonDelivery-Report,mail
Priority,mail
Received,mail
References,mail
Reply-By,mail
Reply-To,mail
Resent-Bcc,mail
Resent-Cc,mail
Resent-Date,mail
Resent-From,mail
Resent-Message-ID,mail
Resent-Reply-To,mail
Resent-Sender,mail
Resent-To,mail
Return-Path,mail
Sender,mail
Sensitivity,mail
Subject,mail
Supersedes,mail
To,mail
X400-Content-Identifier,mail
X400-Content-Return,mail
X400-Content-Type,mail
X400-MTS-Identifier,mail
X400-Originator,mail
X400-Received,mail
X400-Recipients,mail
X400-Trace,mail
